v_tri_state_chemicals.ST,v_tri_state_chemicals.YEAR,v_tri_state_chemicals.CHEM_NAME,v_tri_state_chemicals.ON_SITE_AIR,v_tri_state_chemicals.ON_SITE_WATER,v_tri_state_chemicals.ON_SITE_LAND,v_tri_state_chemicals.ON_SITE_DISP_OR_OTHER_REL,v_tri_state_chemicals.OFF_SITE_DISP_OR_OTHER_REL,v_tri_state_chemicals.ON_OFF_SITE_DISP_OR_OTHER_REL,v_tri_state_chemicals.DATA_SET,
"GA","2017","NAPHTHALENE","5700.14","1","0","5705.14","45.2","5750.34","INFO"
"GA","2017","COPPER COMPOUNDS","9242.9623","15693.28","7000","69636.2423","93855.8608","163542.0423","INFO"
"GA","2017","MANGANESE","6714.477208","22.76","37061","43803.237208","14004.713854","57810.018608","INFO"
"GA","2017","CERTAIN GLYCOL ETHERS","336314.97","193","0","337090.97","11791.685","348882.655","INFO"
"GA","2017","2,2-DICHLORO-1,1,1-TRIFLUOROETHANE","2439","0","0","2439","0","2439","INFO"
"GA","2017","ETHYLENE GLYCOL","9353.6666","193","0","9840.6666","17629.09002","27469.75662","INFO"
"GA","2017","MANGANESE COMPOUNDS","12487.0543","320155.24","775777","1847294.2943","772599.603","2619911.5643","INFO"
"GA","2017","DIBUTYL PHTHALATE","250","0","0","11270","0","11270","INFO"
"GA","2017","DIOXIN AND DIOXIN-LIKE COMPOUNDS",".000000788361448787512425",".000108713532219075",".0000717894264447675",".0006172802780597775",".0000110092742850825",".00062828955234486","INFO"
"GA","2017","ARSENIC COMPOUNDS","306.1","1850.52","5500","39256.62","14672.21","53929.32","INFO"
"GA","2017","TRICHLOROETHYLENE","17004.72","0","0","17004.72","0","17004.72","INFO"
"GA","2017","METHYL ACRYLATE","4559","0","0","4559","0","4559","INFO"
"GA","2017","DIETHANOLAMINE","10495.2","750","0","11245.2","0","11245.2","INFO"
"GA","2017","CHLOROBENZENE","65273","0","0","65273","6861.7605","72134.7995","INFO"
"GA","2017","THALLIUM COMPOUNDS","38","0","0","16038","0","16038","INFO"
"GA","2017","FOMESAFEN","0","0","0","0","0","0","INFO"
"GA","2017","CADMIUM","27.55","0","0","27.55","15.9076","43.58","INFO"
"GA","2017","1,4-DICHLOROBENZENE","0","0","0","0","0","0","INFO"
"GA","2017","BIPHENYL","5329","0","0","5329","805.92","10164.52","INFO"
"GA","2017","DICHLORODIFLUOROMETHANE","180","0","0","180","0","180","INFO"
"GA","2017","CHLOROACETIC ACID","1475","0","0","1475","0","1475","INFO"
"GA","2017","1,1,1,2-TETRACHLORO-2-FLUOROETHANE","10","0","0","10","0","10","INFO"
"GA","2017","PROPYLENE","790","0","0","790","0","790","INFO"
"GA","2017","OZONE","0","0","0","0","0","0","INFO"
"GA","2017","DAZOMET","0","0","0","0","0","0","INFO"
"GA","2017","TRIETHYLAMINE","16083","0","0","16083","0","16083","INFO"
"GA","2017","CARBON DISULFIDE","1742","0","0","1742","0","1742","INFO"
"GA","2017","ABAMECTIN","0","0","0","0","0","0","INFO"
"GA","2017","DIETHYL SULFATE","0","0","0","0","0","0","INFO"
"GA","2017","ALDICARB","0","0","0","0","0","0","INFO"
"GA","2017","STYRENE","1559560.1616","2","0","1559562.1616","26158.1334","1585721.053","INFO"
"GA","2017","BARIUM COMPOUNDS","14021","38322","264608","1795988","134239.95","1930236.92","INFO"
"GA","2017","DIISOCYANATES","787.0210354","0","0","787.0210354","31213.5","32000.5210354","INFO"
"GA","2017","ACETALDEHYDE","594168","19723","255.5","614153.81","79.2","614233.01","INFO"
"GA","2017","NICKEL COMPOUNDS","1426.0813","5577.7","107000","184664.7813","22819.38","207506.5813","INFO"
"GA","2017","BERYLLIUM COMPOUNDS","33","0","1800","7533","0","7533","INFO"
"GA","2017","METHYL ISOBUTYL KETONE","88066.39",".29","0","88219.68","158.3406","88378.0206","INFO"
"GA","2017","BIFENTHRIN",".07783","0","0",".07783","250","250.07783","INFO"
"GA","2017","VINYL ACETATE","3457.6","0","0","3457.6","73.502","3531.102","INFO"
"GA","2017","SEC-BUTYL ALCOHOL","8377.9","106","0","8483.9","226","8709.9","INFO"
"GA","2017","BUTYL ACRYLATE","2083.4","0","0","2083.4","11.367","2096.03","INFO"
"GA","2017","SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY)","782027","0","0","782027","0","782027","INFO"
"GA","2017","N-METHYL-2-PYRROLIDONE","51063.002","0","0","51063.002","14777.52","65840.522","INFO"
"GA","2017","ETHYLBENZENE","28099.7","1","0","28100.7","14.7","28115.4","INFO"
"GA","2017","TRIFLURALIN","4.8","0","0","4.8","0","4.8","INFO"
